dealt	处理
rock-bottom	底层的
airfares	飞机票价
madness	疯狂
pleasant	令人愉快的，舒适的
speechless	说不出话的
airport	机场
wires	金属丝
weed	杂草
starve	（使）挨饿，饿死
feast	宴会
properly	适当地
hopeless	绝望的
fact	事实
worthy	有价值的
example	例子
lazy	懒惰的
silver	银
neck	脖子
crop	庄稼
creature	生物
drive	驾驶
relationship	关系
event	事件
disagreement	不同意
crime	犯罪
cafeteria	自助餐厅
indeed	确实，的确
lamb	羔羊
temperature	温度
print	印刷
select	精选
may	可以
exhibition	展览
failure	失败
settler	移居者
absent	缺席的
natural	自然的
pence	便士
rooster	公鸡
typhoon	台风
accelerate	加速，促进
decline	下降
whip	鞭子;鞭子，抽打
tamer	驯兽师
competence	能力
accidental	意外的，偶然的
remedy	补救，药品
drum	鼓
ore	矿石
devise	发明，策划
rally	集会，团结
panic	惊慌
burden	负担
rectangle	长方形
slender	苗条的，微薄的
premier	首相
procedure	程序
hostile	敌对的，敌方的
chorus	合唱，合唱队
aerobic	有氧的
cognition	认知
stretches	延伸
retrogression	退化；后退
orphans	孤儿（orphan 的复数）
bellies	腹部（belly 的复数）
portion	一部分
waistline	腰围
paycheck	付薪水的支票
convinced	确信
engaging	迷人的
invisible	看不见的
fantastic	极好的
impose	强加于，征（税）
lid	盖子
bureau	局，办事处
soccer	英式足球
interview	采访，面试
foster	促进，培养
wheel	车轮
razor	剃须刀
therapy	治疗
trumpet	喇叭，吹
flourish	茂盛，挥动
bathtub	澡盆
vibrate	震动
revise	修订，复习
excursion	远足，短途旅行
slight	轻微的
sizable	相当大的
calculated	计算
abundant	充足的
commercial	商业的
shipped	装船（ship 的过去分词）；发货
prohibiting	禁止
confirmed	确认
shot	出现
survived	幸存
comparable	可比较的
pause	暂停
protein	蛋白质
soil	土壤
prisoner	囚犯
chip	碎片，芯片
internal	内部的，国内的
charter	宪章，许可证
reserve	保留
namely	即，也就是
zoom	缩放
region	地区，范围
litre	升
cottage	小屋
crucial	至关重要的
handful	一把；少数
feasible	可行的，可用的
confuse	使迷惑
justice	正义
punctual	准时的
pillow	枕头
divide	分开
mix	混合
mat	垫子
indirect	间接的，婉转的
sake	缘故，理由
entrepreneur	企业家
explosive	易爆的；爆炸物
qualify	胜任
horn	角，号角
priest	神父，牧师
tale	故事
undertake	承担
content	满足的，内容
urgent	紧要的
nook	角落；隐匿处
sincere	真诚的
liars	撒谎者
frowning	皱眉头
grimacing	扮鬼脸
gesturing	打手势
unconsciously	不知不觉
mimic	仿造物；模仿的
deliberately	故意地
conquest	攻取，克服
disorder	混蛋，骚乱
nevertheless	仍然，然而
stocking	长筒袜
context	环境；语境
senator	参议员
Moslem	伊斯兰教徒
feature	特征，特写
relief	减轻
instruct	指示，吩咐
transmission	传送，播送
invent	发明
quiz	小测试
pest	害虫
protection	保护
engrossed	全神贯注
page-turner	引人入胜的书
perception	看法
pros	赞成者
wanders	漫游
audiobook	有声读物
intonation	语调
headphones	（头戴式）耳机
significant	重要的
margin	边缘，差额
definite	确切的，肯定的
straw	稻草
retreat	退却，规避
useless	无用的
root	根
spade	铲子
phase	阶段，方面
greeting	问候
carpenter	木匠
caption	标题
damp	潮湿（的）
tropical	热带的
orbit	运行轨道
etiquette	礼节
moist	潮湿的
mold	霉菌，模型
shabby	破旧的
bulb	球茎，电灯泡
mixture	混合物
mission	使命代表团
quit	离开
harbor	海港，庇护
string	细绳
neglect	忽视，疏忽
airspace	领空
victim	受害者
parisians	巴黎人
intellectualize	使…有理智
homemakers	家庭主妇
retirees	退休人员（retiree 的复数）
expenditure	经费，花费
constrain	强迫；限制
obtain	获得
offence	攻击
bonus	奖金，红利
exclaim	呼喊，大声说
botanical	植物学的
block	块，街区
adore	崇拜
shout	呼喊
penalty	处罚，罚金
album	相册
coarse	粗的，粗劣的
disaster	灾难
directory	号码簿
downsize	裁员，精简
effect	影响
figure	弄清楚
lit	点亮
lamps	灯具
repaint	重画
skinny	极瘦的
separate	分开
impression	印象
attitude	态度
